Major,Subject,Type,Teacher,Mode
AiR,Systemy czasu rzeczywistego,lab,dr inż. Marcin Sidzina,Stacjonarne
AiR,Systemy czasu rzeczywistego,lab,mgr inż. Marcin Pawlik,Stacjonarne
AiR,Technika cyfrowa i mikroprocesorowa,lab,dr inż. Krzysztof Kajstura,Stacjonarne
AiR,Techniki wytwarzania I,lab,dr inż. Aleksandra Jarco,Stacjonarne
AiR,Techniki wytwarzania I,wyk,prof. UBB dr hab. inż. Jacek Pezda,Stacjonarne
AiR,Termodynamika i termokinetyka,wyk,prof. UBB dr hab. inż. Andrzej Sucheta,Stacjonarne
AiR,Termodynamika i termokinetyka,ćw,prof. UBB dr hab. inż. Andrzej Sucheta,Stacjonarne
AiR,Układy przełączające,lab,mgr inż. Marcin Pawlik,Stacjonarne
AiR,Układy przełączające,wyk,mgr inż. Ewa Bebek,Stacjonarne
AiR,Wytrzymałość materiałów I,wyk,prof. UBB dr hab. inż. Dorota Pawlus,Stacjonarne
AiR,Zastosowanie technik komputerowych w mechanice,lab,prof. UBB dr hab. inż. Andrzej Urbaś,Niestacjonarne Wieczorowe
Analit,Podstawy rachunkowości,wyk,dr inż. Dorota Więcek,Stacjonarne
Analit,Podstawy rachunkowości,ćw,mgr inż. Ewa Kaczmar-Kolny,Niestacjonarne
Analit,Podstawy rachunkowości,ćw,mgr inż. Ewa Kaczmar-Kolny,Stacjonarne
Bud,Matematyka,ćw,mgr inż. Dorota Śliwińska,Stacjonarne
Bud,Mechanika budowli 2,proj,prof. UBB dr hab. inż. Andrzej Urbaś,Stacjonarne
Bud,Mechanika budowli 2,wyk,prof. UBB dr hab. inż. Andrzej Urbaś,Stacjonarne
Bud,Teoria sprężystości i plastyczności,ćw,prof. UBB dr hab. inż. Andrzej Harlecki,Niestacjonarne
Bud,Zaawansowana matematyka,wyk,dr Tomasz Zgraja,Stacjonarne
Bud,Zaawansowana matematyka,ćw,dr Tomasz Zgraja,Niestacjonarne
EP,Badania i diagnostyka pojazdów,lab,dr inż. Henryk Wnęk,Niestacjonarne Wieczorowe
EP,Badania i diagnostyka pojazdów,lab,dr inż. Henryk Wnęk,Stacjonarne
EP,Badania i diagnostyka pojazdów,lab,mgr inż. Michał Brzozowski,Stacjonarne
EP,Badania i diagnostyka pojazdów,wyk,dr inż. Henryk Wnęk,Stacjonarne
EP,Badania i diagnostyka silników,lab,mgr inż. Kacper Cieślar,Stacjonarne
EP,Badania i diagnostyka silników,lab,prof. UBB dr hab. inż. Dariusz Pietras,Niestacjonarne Wieczorowe
EP,Badania i diagnostyka silników,lab,prof. UBB dr hab. inż. Dariusz Pietras,Stacjonarne
