Major,Subject,Type,Teacher,Mode
MiBM,Elementy sterowania i robotyki,wyk,dr inż. Arkadiusz Trąbka,Niestacjonarne Wieczorowe
MiBM,Grafika inżynierska II (Rysunek techniczny),proj,dr inż. Marek Praszkiewicz,Niestacjonarne Wieczorowe
MiBM,Grafika inżynierska II (Rysunek techniczny),proj,dr inż. Marek Praszkiewicz,Stacjonarne
MiBM,Grafika inżynierska II (Rysunek techniczny),wyk,dr inż. Jacek Rysiński,Niestacjonarne Wieczorowe
MiBM,Grafika inżynierska II (Rysunek techniczny),wyk,dr inż. Jacek Rysiński,Stacjonarne
MiBM,Inżynierskie metody optymalizacji,lab,dr inż. Piotr Danielczyk,Stacjonarne
MiBM,Inżynierskie metody optymalizacji,wyk,dr inż. Piotr Danielczyk,Stacjonarne
MiBM,Laboratorium komputerowego wspomagania konstruowania,lab,prof. UBB dr hab. inż. Ireneusz Wróbel,Niestacjonarne Wieczorowe
MiBM,Matematyka inżynierska II,wyk,dr Mirosław Adamek,Stacjonarne
MiBM,Matematyka inżynierska II,wyk,dr Tomasz Zgraja,Niestacjonarne Wieczorowe
MiBM,Matematyka inżynierska II,ćw,mgr inż. Dorota Śliwińska,Niestacjonarne Wieczorowe
MiBM,Matematyka inżynierska II,ćw,mgr inż. Dorota Śliwińska,Stacjonarne
MiBM,Mechanika analityczna,wyk,prof. UBB dr hab. inż. Andrzej Harlecki,Stacjonarne
MiBM,Mechanika analityczna,ćw,prof. UBB dr hab. inż. Andrzej Harlecki,Stacjonarne
MiBM,Mechanika płynów,lab,mgr inż. Mateusz Śliwka,Stacjonarne
MiBM,Mechanika płynów,lab,mgr inż. Ryszard Klecki,Stacjonarne
MiBM,Mechanika płynów,wyk,dr inż. Jerzy Kopeć,Stacjonarne
MiBM,Mechanika płynów,ćw,dr inż. Jerzy Kopeć,Stacjonarne
MiBM,Mechanika płynów I,wyk,dr inż. Jerzy Kopeć,Niestacjonarne Wieczorowe
MiBM,Mechanika techniczna II,wyk,prof. UBB dr hab. inż. Andrzej Harlecki,Niestacjonarne Wieczorowe
MiBM,Mechanika techniczna II,wyk,prof. UBB dr hab. inż. Andrzej Harlecki,Stacjonarne
MiBM,Mechanika techniczna II,ćw,dr inż. Krzysztof Kubas,Stacjonarne
MiBM,Mechanika techniczna II,ćw,prof. UBB dr hab. inż. Andrzej Harlecki,Niestacjonarne
MiBM,Metaloznawstwo II,lab,prof. UBB dr hab. inż. Dariusz Jędrzejczyk,Stacjonarne
MiBM,Metaloznawstwo II,wyk,prof. UBB dr hab. inż. Dariusz Jędrzejczyk,Niestacjonarne Wieczorowe
MiBM,Metaloznawstwo II,wyk,prof. UBB dr hab. inż. Izabella Rajzer,Stacjonarne
MiBM,Metody numeryczne,lab,dr inż. Krzysztof Kubas,Stacjonarne
MiBM,Modelowanie komputerowe układów mechatronicznych,lab,prof. UBB dr hab. inż. Andrzej Urbaś,Stacjonarne
MiBM,Modelowanie wspomagające projektowanie maszyn,lab,dr inż. Piotr Danielczyk,Stacjonarne
MiBM,Niekonwencjonalne metody wytwarzania,wyk,dr inż. Piotr Zyzak,Niestacjonarne Wieczorowe
MiBM,Obrabiarki sterowane numerycznie,lab,mgr inż. Kamil Wyrobek,Niestacjonarne Wieczorowe
MiBM,Obróbka plastyczna,wyk,prof. UBB dr hab. inż. Jacek Pezda,Stacjonarne
MiBM,Obróbka ubytkowa,lab,mgr inż. Izabela Hura,Niestacjonarne Wieczorowe
MiBM,Obróbka ubytkowa,lab,mgr inż. Izabela Hura,Stacjonarne
MiBM,Obróbka ubytkowa,wyk,prof. UBB dr hab. inż. Jacek Pezda,Niestacjonarne Wieczorowe
MiBM,Obróbka ubytkowa,wyk,prof. UBB dr hab. inż. Jacek Pezda,Stacjonarne
MiBM,Podstawy CAD i modelowanie 3D,lab,dr inż. Piotr Danielczyk,Stacjonarne
MiBM,Podstawy automatyki i robotyki,lab,dr inż. Jarosław Janusz,Stacjonarne
MiBM,Podstawy automatyki i robotyki,lab,mgr inż. Marcin Pawlik,Niestacjonarne Wieczorowe
MiBM,Podstawy automatyki i robotyki,wyk,dr inż. Jarosław Janusz,Niestacjonarne Wieczorowe
MiBM,Podstawy automatyki i robotyki,wyk,dr inż. Jarosław Janusz,Stacjonarne
MiBM,Podstawy automatyki i robotyki,ćw,dr inż. Jarosław Janusz,Niestacjonarne Wieczorowe
MiBM,Podstawy automatyki i robotyki,ćw,dr inż. Jarosław Janusz,Stacjonarne
MiBM,Podstawy elektrotechniki i elektroniki,wyk,mgr inż. Andrzej Masny,Stacjonarne
MiBM,Podstawy elektrotechniki i elektroniki,ćw,mgr inż. Andrzej Masny,Stacjonarne
MiBM,Podstawy konstrukcji maszyn I,proj,dr inż. Marek Praszkiewicz,Niestacjonarne Wieczorowe
MiBM,Podstawy konstrukcji maszyn I,wyk,dr inż. Marek Praszkiewicz,Niestacjonarne Wieczorowe
MiBM,Podstawy konstrukcji maszyn II,lab,mgr inż. Ryszard Klecki,Stacjonarne
MiBM,Podstawy konstrukcji maszyn II,proj,dr inż. Marek Praszkiewicz,Stacjonarne
MiBM,Podstawy konstrukcji maszyn II,wyk,dr inż. Marek Praszkiewicz,Stacjonarne
MiBM,Praca przejściowa,proj,prof. UBB dr hab. inż. Ireneusz Wróbel,Niestacjonarne Wieczorowe
MiBM,Praca przejściowa,proj,prof. UBB dr hab. inż. Jacek Pezda,Niestacjonarne Wieczorowe
MiBM,Procesy montażu w przemyśle motoryzacyjnym,wyk,prof. UBB dr hab. inż. Krzysztof Parczewski,Niestacjonarne Wieczorowe
MiBM,Projektowanie elastycznych systemów produkcyjnych,proj,mgr inż. Kamil Wyrobek,Stacjonarne
MiBM,Projektowanie elastycznych systemów produkcyjnych,wyk,prof. UBB dr hab. inż. Roman Stryczek,Stacjonarne
MiBM,Projektowanie generatywne,proj,dr inż. Piotr Danielczyk,Stacjonarne
MiBM,Projektowanie generatywne,proj,mgr inż. Kamil Wyrobek,Stacjonarne
MiBM,Projektowanie procesów obróbki i montażu,wyk,prof. UBB dr hab. inż. Roman Stryczek,Stacjonarne
MiBM,Seminarium dyplomowe I,sem,prof. UBB dr hab. inż. Jacek Pezda,Stacjonarne
MiBM,Seminarium dyplomowe II,sem,prof. UBB dr hab. inż. Ireneusz Wróbel,Stacjonarne
MiBM,Statystyka i probabilistyka,wyk,dr Bartosz Micherda,Stacjonarne
MiBM,Statystyka i probabilistyka,ćw,dr Bartosz Micherda,Stacjonarne
MiBM,Systemy CAM,lab,mgr inż. Kamil Wyrobek,Stacjonarne
MiBM,Systemy pomiarowe,lab,dr inż. Henryk Wnęk,Niestacjonarne Wieczorowe
MiBM,Systemy pomiarowe,lab,mgr inż. Kacper Cieślar,Niestacjonarne Wieczorowe
MiBM,Systemy wizyjne w wytwarzaniu,lab,mgr inż. Paweł Błaszczak,Stacjonarne
MiBM,Technologie proekologiczne,wyk,prof. UBB dr hab. inż. Tomasz Knefel,Stacjonarne
MiBM,Technologie spajania,wyk,prof. UBB dr hab. inż. Jacek Pezda,Niestacjonarne Wieczorowe
MiBM,Technologie spajania,wyk,prof. UBB dr hab. inż. Jacek Pezda,Stacjonarne
MiBM,Teoria maszyn i mechanizmów,wyk,dr inż. Arkadiusz Trąbka,Niestacjonarne Wieczorowe
MiBM,Termodynamika I,wyk,prof. UBB dr hab. inż. Andrzej Sucheta,Stacjonarne
MiBM,Termodynamika I,ćw,prof. UBB dr hab. inż. Andrzej Sucheta,Stacjonarne
MiBM,Termodynamika techniczna I,wyk,prof. UBB dr hab. inż. Andrzej Sucheta,Niestacjonarne Wieczorowe
MiBM,Termodynamika techniczna I,ćw,prof. UBB dr hab. inż. Andrzej Sucheta,Niestacjonarne Wieczorowe
MiBM,Transport masy i energii,wyk,prof. UBB dr hab. inż. Andrzej Sucheta,Stacjonarne
MiBM,Urządzenia pneumatyczne i hydrauliczne,wyk,dr inż. Jerzy Kopeć,Stacjonarne
MiBM,Współczesne materiały inżynierskie,wyk,prof. UBB dr hab. inż. Dariusz Jędrzejczyk,Stacjonarne
MiBM,Wybrane zagadnienia z konstrukcji maszyn,wyk,prof. UBB dr hab. inż. Józef Drewniak,Niestacjonarne Wieczorowe
MiBM,Wytrzymałość kompozytów i teoria sprężystości,wyk,prof. UBB dr hab. inż. Dorota Pawlus,Stacjonarne
MiBM,Wytrzymałość materiałów I,wyk,prof. UBB dr hab. inż. Dorota Pawlus,Stacjonarne
MiBM,Wytrzymałość materiałów I,ćw,prof. UBB dr hab. inż. Dorota Pawlus,Stacjonarne
MiBM,Wytrzymałość materiałów II,lab,mgr inż. Mateusz Śliwka,Stacjonarne
MiBM,Zarządzanie przedsiębiorstwem,wyk,dr inż. Piotr Zyzak,Niestacjonarne Wieczorowe
MiBM,Zarządzanie środowiskiem i ekologia,wyk,prof. UBB dr hab. inż. Dariusz Pietras,Niestacjonarne Wieczorowe
Mt,Języki wysokiego poziomu w mechatronice,lab,dr inż. Marcin Sidzina,Stacjonarne
Mt,Języki wysokiego poziomu w mechatronice,lab,mgr inż. Adam Jabłoński,Stacjonarne
Mt,Języki wysokiego poziomu w mechatronice,proj,dr inż. Marcin Sidzina,Stacjonarne
Mt,Języki wysokiego poziomu w mechatronice,proj,mgr inż. Adam Jabłoński,Stacjonarne
Mt,Matematyka,wyk,dr Bartosz Micherda,Stacjonarne
Mt,Matematyka,ćw,dr Bartosz Micherda,Stacjonarne
Mt,Modelowanie komputerowe układów mechatronicznych,lab,prof. UBB dr hab. inż. Andrzej Urbaś,Stacjonarne
Mt,Modelowanie komputerowe układów mechatronicznych,wyk,prof. UBB dr hab. inż. Andrzej Urbaś,Stacjonarne
Mt,Modelowanie wspomagające projektowanie maszyn,lab,dr inż. Piotr Danielczyk,Stacjonarne
Mt,Praca przejściowa,proj,dr inż. Jacek Rysiński,Stacjonarne
Mt,Praca przejściowa,proj,dr inż. Marcin Sidzina,Stacjonarne
Mt,Programowalne sterowniki PAC,lab,mgr inż. Ewa Bebek,Stacjonarne
Mt,Programowalne sterowniki PAC,wyk,mgr inż. Ewa Bebek,Stacjonarne
Mt,Przekształtniki energoelektroniczne,wyk,dr inż. Aleksander Patyk,Stacjonarne
Mt,Przemysł 4.0,wyk,prof. UBB dr hab. inż. Dariusz Jędrzejczyk,Stacjonarne
Mt,Robotyzacja stanowisk mechatronicznych,proj,dr inż. Marcin Sidzina,Stacjonarne
Mt,Robotyzacja stanowisk mechatronicznych,proj,mgr inż. Marcin Pawlik,Stacjonarne
Mt,Rozpoznawanie obrazów i systemy ekspertowe,wyk,mgr inż. Paweł Błaszczak,Stacjonarne
Mt,Sterowanie elektrycznymi układami napędowymi,lab,dr inż. Daniel Jancarczyk,Stacjonarne
Mt,Symulacja procesów zrobotyzowanych,lab,dr inż. Marcin Sidzina,Stacjonarne
Mt,Symulacja procesów zrobotyzowanych,lab,mgr inż. Marcin Pawlik,Stacjonarne
Mt,Systemy wizualizacji SCADA,lab,mgr inż. Ewa Bebek,Stacjonarne
Mt,Systemy wizualizacji SCADA,wyk,dr inż. Marcin Sidzina,Stacjonarne
Mt,Systemy wizualizacji SCADA,wyk,mgr inż. Ewa Bebek,Stacjonarne
Mt,Systemy wizyjne w wytwarzaniu,lab,mgr inż. Paweł Błaszczak,Stacjonarne
Mt,Wspomaganie decyzji w praktyce inżynierskiej,wyk,dr inż. Jerzy Marszałek,Stacjonarne
Mt,Wybrane zagadnienia teorii sterowania,wyk,prof. UBB dr hab. inż. Jacek Kłosiński,Stacjonarne
Mt,Zintegrowane systemy wytwarzania,wyk,dr inż. Piotr Zyzak,Stacjonarne
Piel,Sm,lab,dr inż. Krzysztof Sikora,Niestacjonarne
Piel,Sm,lab,dr inż. Krzysztof Sikora,Stacjonarne
Piel,Sm,lab,mgr inż. Kacper Cieślar,Niestacjonarne
Piel,Sm,lab,mgr inż. Kacper Cieślar,Stacjonarne
Trans,BHP i ergonomia,wyk,prof. UBB dr hab. inż. Robert Drobina,Niestacjonarne
Trans,Drgania mechaniczne,lab,dr inż. Arkadiusz Trąbka,Stacjonarne
Trans,Elektrotechnika i elektronika,lab,dr Aleksandra Kłos-Witkowska,Niestacjonarne
Trans,Elektrotechnika i elektronika,wyk,dr Aleksandra Kłos-Witkowska,Niestacjonarne
Trans,Matematyka II,wyk,dr Dawid Kotrys,Niestacjonarne
Trans,Matematyka II,wyk,dr Dawid Kotrys,Stacjonarne
Trans,Matematyka II,ćw,dr Dawid Kotrys,Niestacjonarne
Trans,Matematyka II,ćw,dr Dawid Kotrys,Stacjonarne
ZiIP,Ergonomia,wyk,prof. UBB dr hab. inż. Robert Drobina,Stacjonarne
ZiIP,Finanse i rachunkowość I,wyk,dr inż. Dorota Więcek,Niestacjonarne
ZiIP,Finanse i rachunkowość I,wyk,dr inż. Dorota Więcek,Stacjonarne
ZiIP,Finanse i rachunkowość I,ćw,mgr inż. Ewa Kaczmar-Kolny,Niestacjonarne
ZiIP,Finanse i rachunkowość I,ćw,mgr inż. Ewa Kaczmar-Kolny,Stacjonarne
ZiIP,Gospodarka magazynowa,proj,mgr inż. Damian Kolny,Stacjonarne
ZiIP,Gospodarka magazynowa,wyk,dr inż. Dariusz Więcek,Niestacjonarne
ZiIP,Gospodarka magazynowa,wyk,dr inż. Dariusz Więcek,Stacjonarne
ZiIP,Grafika inżynierska (komputerowa) II,lab,dr inż. Sławomir Herma,Niestacjonarne
ZiIP,Grafika inżynierska (komputerowa) II,lab,dr inż. Sławomir Kukla,Stacjonarne
ZiIP,Informatyka i komputerowe wspomaganie prac inżynierskich I,lab,dr inż. Sławomir Herma,Niestacjonarne
ZiIP,Informatyka i komputerowe wspomaganie prac inżynierskich I,lab,dr inż. Sławomir Herma,Stacjonarne
ZiIP,Informatyka i komputerowe wspomaganie prac inżynierskich I,wyk,dr inż. Sławomir Herma,Niestacjonarne
ZiIP,Informatyka i komputerowe wspomaganie prac inżynierskich I,wyk,dr inż. Sławomir Herma,Stacjonarne
ZiIP,Informatyka i komputerowe wspomaganie prac inżynierskich III,lab,dr inż. Sławomir Kukla,Stacjonarne
ZiIP,Informatyka i komputerowe wspomaganie prac inżynierskich III,wyk,dr inż. Sławomir Kukla,Stacjonarne
ZiIP,Komputerowe wspomaganie projektowania systemów produkcyjnych,proj,dr inż. Dariusz Więcek,Stacjonarne
ZiIP,Komputerowe wspomaganie projektowania systemów produkcyjnych,wyk,dr inż. Dariusz Więcek,Stacjonarne
ZiIP,Kreatywność pracowników i twórcze zespoły,proj,dr inż. Maria Baron-Puda,Stacjonarne
ZiIP,Kreatywność pracowników i twórcze zespoły,proj,mgr inż. Katarzyna Radwan,Stacjonarne
ZiIP,Kwp,lab,prof. UBB dr hab. inż. Janusz Mleczko,Stacjonarne
ZiIP,Kwp,wyk,prof. UBB dr hab. inż. Janusz Mleczko,Stacjonarne
ZiIP,Marketing,wyk,prof. UBB dr hab. inż. Izabela Kutschenreiter-Praszkiewicz,Niestacjonarne
ZiIP,Marketing,wyk,prof. UBB dr hab. inż. Izabela Kutschenreiter-Praszkiewicz,Stacjonarne
ZiIP,Marketing,ćw,mgr inż. Marcin Matuszny,Niestacjonarne
ZiIP,Marketing,ćw,mgr inż. Marcin Matuszny,Stacjonarne
ZiIP,Matematyka II,wyk,dr Mirosław Adamek,Stacjonarne
ZiIP,Matematyka II,wyk,dr Tomasz Zgraja,Niestacjonarne
ZiIP,Matematyka II,ćw,dr Mirosław Adamek,Stacjonarne
ZiIP,Matematyka II,ćw,dr Tomasz Zgraja,Niestacjonarne
ZiIP,Metody i techniki twórczego myślenia,lab,mgr inż. Damian Kolny,Niestacjonarne
ZiIP,Metody i techniki twórczego myślenia,wyk,dr inż. Aleksander Moczała,Niestacjonarne
ZiIP,Nauka o materiałach I,lab,prof. UBB dr hab. inż. Dariusz Jędrzejczyk,Niestacjonarne
ZiIP,Nauka o materiałach I,lab,prof. UBB dr hab. inż. Izabella Rajzer,Stacjonarne
ZiIP,Nauka o materiałach I,wyk,prof. UBB dr hab. inż. Izabella Rajzer,Stacjonarne
ZiIP,Nauka o materiałach I,ćw,prof. UBB dr hab. inż. Dariusz Jędrzejczyk,Niestacjonarne
ZiIP,Nauka o materiałach I,ćw,prof. UBB dr hab. inż. Izabella Rajzer,Stacjonarne
ZiIP,Ocena kompetencji pracowniczych - procesy produkcyjne,wyk,dr inż. Maria Baron-Puda,Stacjonarne
ZiIP,Organizacja systemów produkcyjnych,lab,mgr inż. Katarzyna Radwan,Stacjonarne
ZiIP,Osp,lab,dr hab. inż. Luboslav Dulina,Stacjonarne
ZiIP,Osp,wyk,dr hab. inż. Luboslav Dulina,Stacjonarne
ZiIP,Podstawy metrologii (Metrol. wielk. geom. / Metrol. tech. / Metrol.elek.),lab,mgr inż. Izabela Hura,Niestacjonarne
ZiIP,Podstawy metrologii (Metrol. wielk. geom. / Metrol. tech. / Metrol.elek.),lab,mgr inż. Izabela Hura,Stacjonarne
ZiIP,Podstawy projektowania inżynierskiego I,wyk,dr inż. Dariusz Więcek,Niestacjonarne
ZiIP,Podstawy projektowania inżynierskiego I,wyk,dr inż. Dariusz Więcek,Stacjonarne
ZiIP,Podstawy projektowania inżynierskiego I,ćw,dr inż. Dariusz Więcek,Niestacjonarne
ZiIP,Podstawy projektowania inżynierskiego I,ćw,dr inż. Dariusz Więcek,Stacjonarne
ZiIP,Pp,proj,dr inż. Maria Baron-Puda,Stacjonarne
ZiIP,Praca przejściowa,proj,dr inż. Aleksander Moczała,Stacjonarne
ZiIP,Praca przejściowa,proj,dr inż. Sławomir Kukla,Stacjonarne
ZiIP,Praca przejściowa,proj,mgr inż. Damian Kolny,Stacjonarne
ZiIP,Praca przejściowa,proj,mgr inż. Ewa Golińska,Stacjonarne
ZiIP,Praca przejściowa,proj,mgr inż. Ewa Kaczmar-Kolny,Stacjonarne
ZiIP,Praca przejściowa,proj,mgr inż. Katarzyna Radwan,Stacjonarne
ZiIP,Praca przejściowa,proj,mgr inż. Marcin Matuszny,Stacjonarne
ZiIP,Procesy produkcyjne - projektowanie procesów produkcji,proj,dr inż. Sławomir Kukla,Niestacjonarne
ZiIP,Procesy produkcyjne - projektowanie procesów produkcji,proj,dr inż. Sławomir Kukla,Stacjonarne
ZiIP,Procesy produkcyjne - projektowanie procesów produkcji,wyk,dr inż. Aleksander Moczała,Niestacjonarne
ZiIP,Procesy produkcyjne - projektowanie procesów produkcji,wyk,dr inż. Aleksander Moczała,Stacjonarne
ZiIP,Procesy produkcyjne - projektowanie procesów produkcji,ćw,dr inż. Aleksander Moczała,Niestacjonarne
ZiIP,Prognozowanie i symulacja w przedsiębiorstwie I,lab,prof. UBB dr hab. inż. Dariusz Plinta,Niestacjonarne
ZiIP,Prognozowanie i symulacja w przedsiębiorstwie I,wyk,prof. UBB dr hab. inż. Dariusz Plinta,Niestacjonarne
ZiIP,Projektowanie systemów pracy I,proj,dr inż. Maria Baron-Puda,Niestacjonarne
ZiIP,Projektowanie systemów pracy I,proj,dr inż. Maria Baron-Puda,Stacjonarne
ZiIP,Projektowanie systemów pracy I,wyk,dr inż. Maria Baron-Puda,Niestacjonarne
ZiIP,Projektowanie systemów pracy I,wyk,dr inż. Maria Baron-Puda,Stacjonarne
ZiIP,Projektowanie systemów produkcyjnych,proj,dr inż. Aleksander Moczała,Niestacjonarne
ZiIP,Projektowanie systemów produkcyjnych,wyk,dr inż. Aleksander Moczała,Niestacjonarne
ZiIP,Projektowanie zakładów przemysłowych,proj,mgr inż. Damian Kolny,Stacjonarne
ZiIP,Projektowanie zakładów przemysłowych,wyk,prof. UBB dr hab. inż. Dariusz Plinta,Stacjonarne
ZiIP,Rachunek kosztów dla inżynierów,lab,dr inż. Dorota Więcek,Niestacjonarne
ZiIP,Rachunek kosztów dla inżynierów,lab,dr inż. Dorota Więcek,Stacjonarne
ZiIP,Rachunek kosztów dla inżynierów,wyk,dr inż. Dorota Więcek,Niestacjonarne
ZiIP,Rachunek kosztów dla inżynierów,wyk,prof. dr hab. inż. Józef Matuszek,Stacjonarne
ZiIP,Seminarium dyplomowe I,sem,prof. UBB dr hab. inż. Dariusz Plinta,Niestacjonarne
ZiIP,Seminarium dyplomowe I,sem,prof. dr hab. inż. Józef Matuszek,Niestacjonarne
ZiIP,Systemy wspomagania decyzji i zarządzania wiedzą,proj,dr inż. Sławomir Herma,Niestacjonarne
ZiIP,Systemy wspomagania decyzji i zarządzania wiedzą,wyk,dr inż. Sławomir Herma,Niestacjonarne
ZiIP,Tendencje rozwoju systemów produkcji II - procesy wytwarzania,lab,mgr inż. Damian Kolny,Niestacjonarne
ZiIP,Tendencje rozwoju systemów produkcji II - procesy wytwarzania,wyk,dr inż. Aleksander Moczała,Niestacjonarne
ZiIP,Trsp-Iopp,proj,prof. dr hab. inż. Ivan Kuric,Niestacjonarne
ZiIP,Zarządzanie bezpieczeństwem pracy,wyk,prof. UBB dr hab. inż. Robert Drobina,Stacjonarne
ZiIP,Zarządzanie jakością i bezpieczeństwem I,ćw,mgr inż. Ewa Golińska,Niestacjonarne
ZiIP,Zarządzanie jakością i bezpieczeństwem I,ćw,mgr inż. Ewa Golińska,Stacjonarne
ZiIP,Zarządzanie jakością i bezpieczeństwem III,proj,mgr inż. Ewa Golińska,Stacjonarne
ZiIP,Zarządzanie jakością i bezpieczeństwem III,wyk,mgr inż. Ewa Golińska,Niestacjonarne
ZiIP,Zarządzanie jakością i bezpieczeństwem III,wyk,mgr inż. Ewa Golińska,Stacjonarne
ZiIP,Zarządzanie jakością i bezpieczeństwem III,ćw,mgr inż. Ewa Golińska,Niestacjonarne
ZiIP,Zarządzanie jakością i bezpieczeństwem III,ćw,mgr inż. Ewa Golińska,Stacjonarne
ZiIP,Zarządzanie procesami w przedsiębiorstwie,lab,dr inż. Dariusz Więcek,Niestacjonarne
ZiIP,Zarządzanie produkcją i usługami II,lab,mgr inż. Ewa Kaczmar-Kolny,Stacjonarne
ZiIP,Zarządzanie produkcją i usługami II,proj,mgr inż. Ewa Kaczmar-Kolny,Stacjonarne
ZiIP,Zarządzanie produkcją i usługami II,wyk,prof. UBB dr hab. inż. Dariusz Plinta,Stacjonarne
ZiIP,Zarządzanie projektami innowacyjnymi I,lab,mgr inż. Katarzyna Radwan,Niestacjonarne
ZiIP,Zarządzanie projektem i innowacjami,lab,mgr inż. Katarzyna Radwan,Stacjonarne
ZiIP,Zarządzanie strategiczne,wyk,prof. UBB dr hab. inż. Izabela Kutschenreiter-Praszkiewicz,Niestacjonarne
ZiIP,Zarządzanie strategiczne,ćw,prof. UBB dr hab. inż. Izabela Kutschenreiter-Praszkiewicz,Niestacjonarne
ZiIP,Zarządzanie systemami pracy,wyk,dr inż. Maria Baron-Puda,Niestacjonarne
ZiIP,Zarządzanie środowiskowe,wyk,prof. UBB dr hab. inż. Robert Drobina,Niestacjonarne
ZiIP,Zarządzanie środowiskowe,wyk,prof. UBB dr hab. inż. Robert Drobina,Stacjonarne
ZiIP,Zarządzanie środowiskowe,ćw,prof. UBB dr hab. inż. Robert Drobina,Niestacjonarne
ZiIP,Zarządzanie środowiskowe,ćw,prof. UBB dr hab. inż. Robert Drobina,Stacjonarne
ZiIP,Zintegrowane systemy zarządzania I,lab,prof. UBB dr hab. inż. Janusz Mleczko,Niestacjonarne
ZiIP,Zintegrowane systemy zarządzania I,wyk,prof. UBB dr hab. inż. Janusz Mleczko,Niestacjonarne
ZiIP,ZpiII,lab,dr inż. Sławomir Kukla,Stacjonarne
ZiIP,ZpiII,wyk,dr inż. Sławomir Kukla,Stacjonarne
ZiIP,Zpii,lab,dr inż. Aleksander Moczała,Stacjonarne
ZiIP,Zpii,wyk,dr inż. Aleksander Moczała,Stacjonarne
Zzl,Statystyka opisowa,wyk,dr Mirosław Adamek,Stacjonarne
Zzl,Statystyka opisowa,ćw,mgr inż. Dorota Śliwińska,Stacjonarne
