Major,Subject,Type,Teacher
EP,Budowa i eksploatacja silników I,wyk,prof. UBB dr hab. inż. Jacek Nowakowski
EP,Eitnm(10.5godz.),lab,mgr inż. Kacper Cieślar
EP,Eitnm(4,5godz.),prof. UBB dr hab. inż. Krzysztof Parczewski
EP,Eitnm(4,5godz.),prof. UBB dr hab. inż. Tomasz Knefel
EP,Ekologia i recykling pojazdów,wyk,prof. UBB dr hab. inż. Dariusz Pietras
EP,Eksploatacja i technologia napraw maszyn,lab,mgr inż. Kacper Cieślar
EP,Matematyka inżynierska II,wyk,dr Tomasz Zgraja
EP,Matematyka inżynierska II,wyk,prof. UBB dr hab. Szymon Wąsowicz
EP,Matematyka inżynierska II,ćw,mgr inż. Dorota Śliwińska
EP,Matematyka inżynierska II,ćw,prof. UBB dr hab. Szymon Wąsowicz
EP,Materiały i tworzywa sztuczne w budowie pojazdów,wyk,prof. UBB dr hab. inż. Izabella Rajzer
EP,Mechanika techniczna II,wyk,prof. UBB dr hab. inż. Andrzej Harlecki
EP,Mechanika techniczna II,ćw,dr inż. Krzysztof Kubas
EP,Metrologia,lab,mgr inż. Izabela Hura
EP,Ochrona własności intelektualnych,wyk,prof. UBB dr hab. inż. Tomasz Knefel
EP,Odlewnictwo i obróbka plastyczna,lab,dr inż. Aleksandra Jarco
EP,Odlewnictwo i obróbka plastyczna,wyk,prof. UBB dr hab. inż. Jacek Pezda
EP,Podstawy CAD i modelowanie 3D,lab,dr inż. Jerzy Marszałek
EP,Podstawy CAD i modelowanie 3D,lab,dr inż. Piotr Danielczyk
EP,Podstawy dynamiki maszyn,wyk,prof. UBB dr hab. inż. Andrzej Harlecki
EP,Podstawy elektrotechniki i elektroniki,lab,dr inż. Daniel Jancarczyk
EP,Podstawy elektrotechniki i elektroniki,wyk,mgr inż. Andrzej Masny
EP,Podstawy elektrotechniki i elektroniki,ćw,mgr inż. Andrzej Masny
EP,Podstawy konstrukcji maszyn II,proj,dr inż. Marek Praszkiewicz
EP,Podstawy rekonstrukcji wypadków drogowych,lab,prof. UBB dr hab. inż. Krzysztof Parczewski
EP,Projektowanie procesów obróbki,proj,dr inż. Piotr Zyzak
EP,PrzeniesieniezajęćzsaliL13510.03,,prof. UBB dr hab. inż. Izabella Rajzer
EP,Seminarium dyplomowe I,sem,prof. UBB dr hab. inż. Jacek Nowakowski
EP,Technologie spajania,wyk,prof. UBB dr hab. inż. Jacek Pezda
EP,Termodynamika techniczna,lab,dr inż. Krzysztof Sikora
EP,Termodynamika techniczna,wyk,dr inż. Krzysztof Sikora
EP,Termodynamika techniczna,ćw,dr inż. Krzysztof Sikora
EP,Wymagania homologacyjne w budowie pojazdów,wyk,dr inż. Henryk Wnęk
EP,Wytrzymałość materiałów I,ćw,dr inż. Jerzy Kopeć
EP,Wytrzymałość materiałów III,lab,mgr inż. Mateusz Śliwka
EP,Zasilanie i osprzęt silników,lab,prof. UBB dr hab. inż. Tomasz Knefel
EP,Zasilanie i osprzęt silników,wyk,prof. UBB dr hab. inż. Tomasz Knefel
Erasmus,APTtyg.7,5-15,prof. UBB dr hab. inż. Mirosław Kordos
Erasmus,Discrete Mathematics,wyk,dr Tomasz Zgraja
Erasmus,Graphics and Computer Games I,wyk,prof. dr hab. Vasyl Martsenyuk
Erasmus,Management of Technology and Innovation,wyk,dr inż. Aleksander Moczała
Erasmus,PiC(PIII)tyg.1-7,5,prof. UBB dr hab. inż. Mirosław Kordos
Inf,Algorytmy i struktury danych,lab,dr Jacek Mrowiec
Inf,Algorytmy i struktury danych,lab,dr inż. Elżbieta Sadowska-Owczorz
Inf,Algorytmy i struktury danych,lab,mgr inż. Dorota Śliwińska
Inf,Algorytmy i struktury danych,wyk,dr Jacek Mrowiec
Inf,Am,wyk,prof. UBB dr hab. Szymon Wąsowicz
Inf,Am,ćw,prof. UBB dr hab. Szymon Wąsowicz
Inf,Analiza matematyczna II,wyk,dr Dawid Kotrys
Inf,Analiza matematyczna II,ćw,dr Dawid Kotrys
Inf,Analiza matematyczna II,ćw,dr Mirosław Adamek
Inf,Badania operacyjne i optymalizacja,lab,dr inż. Jerzy Marszałek
Inf,Badania operacyjne i optymalizacja,wyk,dr inż. Jerzy Marszałek
Inf,Bezpieczeństwo sieci Web,lab,dr inż. Ruslan Shevchuk
Inf,Bezpieczeństwo systemów serwerowych,lab,dr inż. Tomasz Gancarczyk
Inf,Bezpieczeństwo technologii mobilnych,lab,mgr inż. Olga Veselska
Inf,Cyfrowe przetwarzanie sygnałów I,wyk,prof. dr hab. Vasyl Martsenyuk
Inf,Dsp(pwjaPsc),lab,prof. dr hab. Vasyl Martsenyuk
Inf,Dsp(pwjaPsc),wyk,prof. dr hab. Vasyl Martsenyuk
Inf,Eksploracja zbiorów Big Data,lab,dr inż. Ruslana Ziubina
Inf,Eksploracja zbiorów Big Data,wyk,dr inż. Ruslana Ziubina
Inf,Fizyka,wyk,dr Aleksandra Kłos-Witkowska
Inf,Fizyka,ćw,dr Aleksandra Kłos-Witkowska
Inf,Grafika komputerowa,lab,mgr inż. Mikołaj Grygiel
Inf,Grafika komputerowa,lab,prof. dr hab. Vasyl Martsenyuk
Inf,Grafika komputerowa,wyk,prof. dr hab. Vasyl Martsenyuk
Inf,Inteligentne przetwarzanie multimediów,wyk,dr Marcin Bernaś
Inf,Inteligentny transport i pojazdy autonomiczne,wyk,dr Marcin Bernaś
Inf,Interfejs w aplikacjach internetowych,lab,dr Marcin Bernaś
Inf,Interfejs w aplikacjach internetowych,lab,mgr inż. Patryk Giertuga
Inf,Interfejs w aplikacjach internetowych,lab,mgr inż. Piotr Soszka
Inf,Interfejs w aplikacjach internetowych,wyk,dr Marcin Bernaś
Inf,Komunikacja społeczna i aktywizacja zawodowa,wyk,prof. UBB dr hab. inż. Izabela Kutschenreiter-Praszkiewicz
Inf,Linie i systemy światłowodowe I,wyk,dr inż. Ruslana Ziubina
Inf,Matematyka dyskretna,wyk,prof. UBB dr hab. inż. Stanisław Zawiślak
Inf,Matematyka dyskretna,ćw,prof. UBB dr hab. inż. Stanisław Zawiślak
Inf,Matematyka dyskretna II,wyk,dr hab. Wojciech Wieczorek
Inf,Matematyka dyskretna II,ćw,dr hab. Wojciech Wieczorek
Inf,Matematyka konkretna,ćw,prof. dr hab. Vasyl Martsenyuk
Inf,Metody probabilistyczne i statystyka,wyk,dr Mirosław Adamek
Inf,Metody probabilistyczne i statystyka,ćw,dr Mirosław Adamek
Inf,Metody probabilistyczne i statystyka,ćw,mgr inż. Dorota Śliwińska
Inf,Metody probablistyczne,wyk,prof. UBB dr hab. Szymon Wąsowicz
Inf,Metody probablistyczne,ćw,mgr inż. Dorota Śliwińska
Inf,Metody sztucznej inteligencji,lab,mgr inż. Patryk Giertuga
Inf,Metody sztucznej inteligencji,lab,mgr inż. Piotr Soszka
Inf,Metody sztucznej inteligencji,lab,prof. UBB dr hab. inż. Mirosław Kordos
Inf,Metody sztucznej inteligencji,wyk,prof. UBB dr hab. inż. Mirosław Kordos
Inf,Nauka o danych II,lab,prof. dr hab. Vasyl Martsenyuk
Inf,Nbd,lab,mgr inż. Piotr Soszka
Inf,Nieralacyjne bazy danych,wyk,dr hab. Wojciech Wieczorek
Inf,Nierelacyjne bazy danych,lab,mgr inż. Olga Veselska
Inf,Nierelacyjne bazy danych,wyk,dr inż. Paweł Fałat
Inf,NodI,lab,dr Joanna Nikodem
Inf,NodI,wyk,dr Joanna Nikodem
Inf,Ok,lab,dr hab. Wojciech Wieczorek
Inf,Ok,wyk,dr hab. Wojciech Wieczorek
Inf,Programowanie II,lab,dr hab. Wojciech Wieczorek
Inf,Programowanie II,lab,dr inż. Paweł Fałat
Inf,Programowanie II,lab,dr inż. Ruslan Shevchuk
Inf,Programowanie II,lab,mgr inż. Mikołaj Grygiel
Inf,Programowanie II,lab,mgr inż. Piotr Soszka
Inf,Programowanie II,wyk,dr inż. Paweł Fałat
Inf,Programowanie IV,lab,dr hab. Wojciech Wieczorek
Inf,Programowanie IV,lab,dr inż. Krzysztof Augustynek
Inf,Programowanie IV,lab,dr inż. Paweł Fałat
Inf,Programowanie IV,lab,mgr inż. Tomasz Zając
Inf,Programowanie IV,wyk,dr hab. Wojciech Wieczorek
Inf,Programowanie IV,wyk,dr inż. Krzysztof Augustynek
Inf,Programowanie dla Internetu w technologii ASP.NET,lab,dr inż. Krzysztof Augustynek
Inf,Programowanie dla Internetu w technologii ASP.NET,lab,dr inż. Paweł Fałat
Inf,Programowanie dla Internetu w technologii ASP.NET,lab,dr inż. Szymon Tengler
Inf,Programowanie dla Internetu w technologii ASP.NET,wyk,dr inż. Paweł Fałat
Inf,Programowanie dla Internetu w technologii ASP.NET,wyk,dr inż. Szymon Tengler
Inf,Programowanie mikrokontrolerów,lab,dr inż. Daniel Jancarczyk
Inf,Programowanie mikrokontrolerów,lab,mgr inż. Damian Pytka
Inf,Programowanie mikrokontrolerów,wyk,dr inż. Daniel Jancarczyk
Inf,Projekt - zespołowe przedsięwzięcie programistyczne,proj,mgr inż. Maksymilian Grygiel
Inf,Projekt - zespołowe przedsięwzięcie programistyczne,proj,mgr inż. Tomasz Zając
Inf,Projekt - zespołowe przedsięwzięcie programistyczne,proj,mgr inż. Łukasz Hamera
Inf,Projektowanie i analiza użyteczności interfejsów użytkownika,lab,dr Łukasz Więcław
Inf,Projektowanie i analiza użyteczności interfejsów użytkownika,wyk,dr Łukasz Więcław
Inf,Projektowanie i obsługa sieci komputerowych II,lab,mgr inż. Olga Veselska
Inf,Projektowanie i obsługa sieci komputerowych II,ćw,mgr inż. Olga Veselska
Inf,Projektowanie rozwiązań internetowych,lab,mgr inż. Mikołaj Grygiel
Inf,Projektowanie rozwiązań internetowych,lab,mgr inż. Patryk Giertuga
Inf,Przetwarzanie dzwięku,wyk,mgr inż. Damian Pytka
Inf,Radiokomunikacja II,lab,mgr inż. Olga Veselska
Inf,Rozszerzony Internet rzeczy,lab,dr Łukasz Więcław
Inf,Rozszerzony Internet rzeczy,wyk,dr Łukasz Więcław
Inf,Seminarium dyplomowe I,sem,dr Łukasz Więcław
Inf,Seminarium dyplomowe I,sem,prof. UBB dr hab. inż. Stanisław Zawiślak
Inf,Seminarium dyplomowe II,sem,prof. UBB dr hab. inż. Stanisław Zawiślak
Inf,Sieci komputerowe,lab,mgr inż. Olga Veselska
Inf,Sieci komputerowe,wyk,dr inż. Ruslana Ziubina
Inf,Systemy operacyjne I,lab,dr inż. Tomasz Gancarczyk
Inf,Systemy operacyjne I,wyk,dr inż. Tomasz Gancarczyk
Inf,Systemy rozproszone,lab,dr inż. Krzysztof Augustynek
Inf,Techniki testowania aplikacji,lab,mgr inż. Maksymilian Grygiel
Inf,Technologie Blockchain,lab,dr inż. Ruslan Shevchuk
Inf,Teletransmisja II,lab,dr inż. Ruslan Shevchuk
Inf,Teoria informacji i kodowanie,ćw,dr Jacek Mrowiec
Inf,Todsc,lab,dr inż. Szymon Tengler
Inf,Todsc,wyk,dr inż. Szymon Tengler
Inf,Uczenie maszynowe,lab,prof. dr hab. Vasyl Martsenyuk
Inf,Wybrane zagadnienia z ochrony własności intelektualnych,wyk,prof. UBB dr hab. inż. Tomasz Knefel
Inf,Wzorce projektowe,wyk,dr Łukasz Więcław
Inf,Zgigk,lab,dr Marcin Bernaś
Inf,Zgigk,wyk,dr Marcin Bernaś
Inf,Zp,wyk,dr Łukasz Więcław
Inf,Ztp,lab,prof. UBB dr hab. inż. Mirosław Kordos
Inf,Ztp,wyk,prof. UBB dr hab. inż. Mirosław Kordos
Inż mat,Odlewnictwo,lab,dr inż. Aleksandra Jarco
Inż mat,Odlewnictwo,wyk,prof. UBB dr hab. inż. Jacek Pezda
Inż śr,Matematyka,wyk,dr Tomasz Zgraja
Inż śr,Matematyka,ćw,dr Tomasz Zgraja
Kom int,Podstawy informatyki,wyk,dr Aleksandra Kłos-Witkowska
Kom int,Podstawy informatyki,ćw,dr Aleksandra Kłos-Witkowska
Kom int,PrzeniesieniezajęćzsaliL13112.03,,dr Łukasz Więcław
Kom int,Wprowadzenie do UX Design,wyk,dr Łukasz Więcław
Kom int,Wprowadzenie do UX Design,ćw,dr Łukasz Więcław
MiBM,Bezpieczeństwo i jakość w procesach wytwórczych,wyk,prof. UBB dr hab. inż. Jacek Pezda
MiBM,Drgania mechaniczne,lab,dr inż. Arkadiusz Trąbka
MiBM,Drgania mechaniczne,wyk,dr inż. Jarosław Janusz
MiBM,Dynamika maszyn,lab,prof. UBB dr hab. inż. Andrzej Urbaś
MiBM,Eksploatacja i technologia napraw maszyn,wyk,prof. UBB dr hab. inż. Krzysztof Parczewski
MiBM,Eksploatacja i technologia napraw maszyn,wyk,prof. UBB dr hab. inż. Tomasz Knefel
MiBM,Elementy sterowania i robotyki,lab,dr inż. Arkadiusz Trąbka
MiBM,Elementy sterowania i robotyki,wyk,dr inż. Arkadiusz Trąbka
MiBM,Grafika inżynierska II (Rysunek techniczny),proj,dr inż. Marek Praszkiewicz
MiBM,Grafika inżynierska II (Rysunek techniczny),wyk,dr inż. Jacek Rysiński
MiBM,Inżynierskie metody optymalizacji,lab,dr inż. Piotr Danielczyk
MiBM,Inżynierskie metody optymalizacji,wyk,dr inż. Piotr Danielczyk
MiBM,Laboratorium komputerowego wspomagania konstruowania,lab,prof. UBB dr hab. inż. Ireneusz Wróbel
MiBM,Matematyka inżynierska II,wyk,dr Mirosław Adamek
MiBM,Matematyka inżynierska II,wyk,dr Tomasz Zgraja
MiBM,Matematyka inżynierska II,ćw,mgr inż. Dorota Śliwińska
MiBM,Mathematical analysis (przedmiot obieralny),wyk,prof. UBB dr hab. Szymon Wąsowicz
MiBM,Mathematical analysis (przedmiot obieralny),ćw,mgr inż. Dorota Śliwińska
MiBM,Mechanika analityczna,wyk,prof. UBB dr hab. inż. Andrzej Harlecki
MiBM,Mechanika analityczna,ćw,prof. UBB dr hab. inż. Andrzej Harlecki
MiBM,Mechanika płynów,lab,mgr inż. Mateusz Śliwka
MiBM,Mechanika płynów,lab,mgr inż. Ryszard Klecki
MiBM,Mechanika płynów,wyk,dr inż. Jerzy Kopeć
MiBM,Mechanika płynów,ćw,dr inż. Jerzy Kopeć
MiBM,Mechanika płynów I,wyk,dr inż. Jerzy Kopeć
MiBM,Mechanika techniczna II,wyk,prof. UBB dr hab. inż. Andrzej Harlecki
MiBM,Mechanika techniczna II,ćw,dr inż. Krzysztof Kubas
MiBM,Mechanika techniczna II,ćw,prof. UBB dr hab. inż. Andrzej Harlecki
