Major,Subject,Type,Teacher
Mt,Wspomaganie decyzji w praktyce inżynierskiej,wyk,dr inż. Jerzy Marszałek
Mt,Wybrane zagadnienia teorii sterowania,wyk,prof. UBB dr hab. inż. Jacek Kłosiński
Mt,Zintegrowane systemy wytwarzania,wyk,dr inż. Piotr Zyzak
Piel,Sm,lab,dr inż. Krzysztof Sikora
Piel,Sm,lab,mgr inż. Kacper Cieślar
Trans,BHP i ergonomia,wyk,prof. UBB dr hab. inż. Robert Drobina
Trans,Drgania mechaniczne,lab,dr inż. Arkadiusz Trąbka
Trans,Elektrotechnika i elektronika,lab,dr Aleksandra Kłos-Witkowska
Trans,Elektrotechnika i elektronika,wyk,dr Aleksandra Kłos-Witkowska
Trans,Matematyka II,wyk,dr Dawid Kotrys
Trans,Matematyka II,ćw,dr Dawid Kotrys
ZiIP,Ergonomia,wyk,prof. UBB dr hab. inż. Robert Drobina
ZiIP,Finanse i rachunkowość I,wyk,dr inż. Dorota Więcek
ZiIP,Finanse i rachunkowość I,ćw,mgr inż. Ewa Kaczmar-Kolny
ZiIP,Gospodarka magazynowa,proj,mgr inż. Damian Kolny
ZiIP,Gospodarka magazynowa,wyk,dr inż. Dariusz Więcek
ZiIP,Grafika inżynierska (komputerowa) II,lab,dr inż. Sławomir Herma
ZiIP,Grafika inżynierska (komputerowa) II,lab,dr inż. Sławomir Kukla
ZiIP,Informatyka i komputerowe wspomaganie prac inżynierskich I,lab,dr inż. Sławomir Herma
ZiIP,Informatyka i komputerowe wspomaganie prac inżynierskich I,wyk,dr inż. Sławomir Herma
ZiIP,Informatyka i komputerowe wspomaganie prac inżynierskich III,lab,dr inż. Sławomir Kukla
ZiIP,Informatyka i komputerowe wspomaganie prac inżynierskich III,wyk,dr inż. Sławomir Kukla
ZiIP,Komputerowe wspomaganie projektowania systemów produkcyjnych,proj,dr inż. Dariusz Więcek
ZiIP,Komputerowe wspomaganie projektowania systemów produkcyjnych,wyk,dr inż. Dariusz Więcek
ZiIP,Kreatywność pracowników i twórcze zespoły,proj,dr inż. Maria Baron-Puda
ZiIP,Kreatywność pracowników i twórcze zespoły,proj,mgr inż. Katarzyna Radwan
ZiIP,Kwp,lab,prof. UBB dr hab. inż. Janusz Mleczko
ZiIP,Kwp,wyk,prof. UBB dr hab. inż. Janusz Mleczko
ZiIP,Marketing,wyk,prof. UBB dr hab. inż. Izabela Kutschenreiter-Praszkiewicz
ZiIP,Marketing,ćw,mgr inż. Marcin Matuszny
ZiIP,Matematyka II,wyk,dr Mirosław Adamek
ZiIP,Matematyka II,wyk,dr Tomasz Zgraja
ZiIP,Matematyka II,ćw,dr Mirosław Adamek
ZiIP,Matematyka II,ćw,dr Tomasz Zgraja
ZiIP,Metody i techniki twórczego myślenia,lab,mgr inż. Damian Kolny
ZiIP,Metody i techniki twórczego myślenia,wyk,dr inż. Aleksander Moczała
ZiIP,Nauka o materiałach I,lab,prof. UBB dr hab. inż. Dariusz Jędrzejczyk
ZiIP,Nauka o materiałach I,lab,prof. UBB dr hab. inż. Izabella Rajzer
ZiIP,Nauka o materiałach I,wyk,prof. UBB dr hab. inż. Izabella Rajzer
ZiIP,Nauka o materiałach I,ćw,prof. UBB dr hab. inż. Dariusz Jędrzejczyk
ZiIP,Nauka o materiałach I,ćw,prof. UBB dr hab. inż. Izabella Rajzer
ZiIP,Ocena kompetencji pracowniczych - procesy produkcyjne,wyk,dr inż. Maria Baron-Puda
ZiIP,Organizacja systemów produkcyjnych,lab,mgr inż. Katarzyna Radwan
ZiIP,Osp,lab,dr hab. inż. Luboslav Dulina
ZiIP,Osp,wyk,dr hab. inż. Luboslav Dulina
ZiIP,Podstawy metrologii (Metrol. wielk. geom. / Metrol. tech. / Metrol.elek.),lab,mgr inż. Izabela Hura
ZiIP,Podstawy projektowania inżynierskiego I,wyk,dr inż. Dariusz Więcek
ZiIP,Podstawy projektowania inżynierskiego I,ćw,dr inż. Dariusz Więcek
ZiIP,Pp,proj,dr inż. Maria Baron-Puda
ZiIP,Praca przejściowa,proj,dr inż. Aleksander Moczała
ZiIP,Praca przejściowa,proj,dr inż. Sławomir Kukla
ZiIP,Praca przejściowa,proj,mgr inż. Damian Kolny
ZiIP,Praca przejściowa,proj,mgr inż. Ewa Golińska
ZiIP,Praca przejściowa,proj,mgr inż. Ewa Kaczmar-Kolny
ZiIP,Praca przejściowa,proj,mgr inż. Katarzyna Radwan
ZiIP,Praca przejściowa,proj,mgr inż. Marcin Matuszny
ZiIP,Procesy produkcyjne - projektowanie procesów produkcji,proj,dr inż. Sławomir Kukla
ZiIP,Procesy produkcyjne - projektowanie procesów produkcji,wyk,dr inż. Aleksander Moczała
ZiIP,Procesy produkcyjne - projektowanie procesów produkcji,ćw,dr inż. Aleksander Moczała
ZiIP,Prognozowanie i symulacja w przedsiębiorstwie I,lab,prof. UBB dr hab. inż. Dariusz Plinta
ZiIP,Prognozowanie i symulacja w przedsiębiorstwie I,wyk,prof. UBB dr hab. inż. Dariusz Plinta
ZiIP,Projektowanie systemów pracy I,proj,dr inż. Maria Baron-Puda
ZiIP,Projektowanie systemów pracy I,wyk,dr inż. Maria Baron-Puda
ZiIP,Projektowanie systemów produkcyjnych,proj,dr inż. Aleksander Moczała
ZiIP,Projektowanie systemów produkcyjnych,wyk,dr inż. Aleksander Moczała
ZiIP,Projektowanie zakładów przemysłowych,proj,mgr inż. Damian Kolny
ZiIP,Projektowanie zakładów przemysłowych,wyk,prof. UBB dr hab. inż. Dariusz Plinta
ZiIP,Rachunek kosztów dla inżynierów,lab,dr inż. Dorota Więcek
ZiIP,Rachunek kosztów dla inżynierów,wyk,dr inż. Dorota Więcek
ZiIP,Rachunek kosztów dla inżynierów,wyk,prof. dr hab. inż. Józef Matuszek
ZiIP,Seminarium dyplomowe I,sem,prof. UBB dr hab. inż. Dariusz Plinta
ZiIP,Seminarium dyplomowe I,sem,prof. dr hab. inż. Józef Matuszek
ZiIP,Systemy wspomagania decyzji i zarządzania wiedzą,proj,dr inż. Sławomir Herma
ZiIP,Systemy wspomagania decyzji i zarządzania wiedzą,wyk,dr inż. Sławomir Herma
ZiIP,Tendencje rozwoju systemów produkcji II - procesy wytwarzania,lab,mgr inż. Damian Kolny
ZiIP,Tendencje rozwoju systemów produkcji II - procesy wytwarzania,wyk,dr inż. Aleksander Moczała
ZiIP,Trsp-Iopp,proj,prof. dr hab. inż. Ivan Kuric
ZiIP,Zarządzanie bezpieczeństwem pracy,wyk,prof. UBB dr hab. inż. Robert Drobina
ZiIP,Zarządzanie jakością i bezpieczeństwem I,ćw,mgr inż. Ewa Golińska
ZiIP,Zarządzanie jakością i bezpieczeństwem III,proj,mgr inż. Ewa Golińska
ZiIP,Zarządzanie jakością i bezpieczeństwem III,wyk,mgr inż. Ewa Golińska
ZiIP,Zarządzanie jakością i bezpieczeństwem III,ćw,mgr inż. Ewa Golińska
ZiIP,Zarządzanie procesami w przedsiębiorstwie,lab,dr inż. Dariusz Więcek
ZiIP,Zarządzanie produkcją i usługami II,lab,mgr inż. Ewa Kaczmar-Kolny
ZiIP,Zarządzanie produkcją i usługami II,proj,mgr inż. Ewa Kaczmar-Kolny
ZiIP,Zarządzanie produkcją i usługami II,wyk,prof. UBB dr hab. inż. Dariusz Plinta
ZiIP,Zarządzanie projektami innowacyjnymi I,lab,mgr inż. Katarzyna Radwan
ZiIP,Zarządzanie projektem i innowacjami,lab,mgr inż. Katarzyna Radwan
ZiIP,Zarządzanie strategiczne,wyk,prof. UBB dr hab. inż. Izabela Kutschenreiter-Praszkiewicz
ZiIP,Zarządzanie strategiczne,ćw,prof. UBB dr hab. inż. Izabela Kutschenreiter-Praszkiewicz
ZiIP,Zarządzanie systemami pracy,wyk,dr inż. Maria Baron-Puda
ZiIP,Zarządzanie środowiskowe,wyk,prof. UBB dr hab. inż. Robert Drobina
ZiIP,Zarządzanie środowiskowe,ćw,prof. UBB dr hab. inż. Robert Drobina
ZiIP,Zintegrowane systemy zarządzania I,lab,prof. UBB dr hab. inż. Janusz Mleczko
ZiIP,Zintegrowane systemy zarządzania I,wyk,prof. UBB dr hab. inż. Janusz Mleczko
ZiIP,ZpiII,lab,dr inż. Sławomir Kukla
ZiIP,ZpiII,wyk,dr inż. Sławomir Kukla
ZiIP,Zpii,lab,dr inż. Aleksander Moczała
ZiIP,Zpii,wyk,dr inż. Aleksander Moczała
Zzl,Statystyka opisowa,wyk,dr Mirosław Adamek
Zzl,Statystyka opisowa,ćw,mgr inż. Dorota Śliwińska
